group_key,canonical_title,search_signature,group_total_quantity,group_total_value,variant_count,eligible_for_search,serp_attempted,serp_completed,serp_source_found,price_extracted,match_validated,cache_hit,execution_stage,error_kind,amazon_price,match_confidence,expected_revenue,expected_cost,expected_profit,expected_roi_pct
g0,Amazon Brand - Solimo Stainless Steel Cubix Water Bottles 1L Each Rust-Resistant Shatter-Proof Spill-Proof Food Grade Steel Office School Travel Dishwasher Safe,amazon brand solimo stainless steel cubix water bottles 1l each rust resistant,7,1337.0,1,True,False,False,False,False,False,False,queued,,,0.0,1077.79,3081.540000000001,-2003.75,-65.02
g1,Amazon Brand - Solimo Copper Water Pot Bedside Pot With Glass Hammered Finish 950 Ml,amazon brand solimo copper water pot bedside glass hammered finish 950,4,1184.0,1,True,False,False,False,False,False,False,queued,,,0.0,1367.84,2048.08,-680.24,-33.21
g2,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set For Office With Bag Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,amazon brand solimo microwave safe two compartment lunch office bag,4,834.0,1,True,False,False,False,False,False,False,queued,,,0.0,1359.04,1988.04,-629.0,-31.64
g3,Amazon Brand - Solimo Stainless Steel Water Bottle 1 L Each,amazon brand solimo stainless steel water bottle 1 each,3,741.0,1,True,False,False,False,False,False,False,queued,,,0.0,815.25,1576.08,-760.83,-48.27
g4,Amazon Solimo Silica Glass Milk Bottle 1 Litre Transparent,amazon solimo silica glass milk bottle 1 litre transparent,3,660.0,1,True,False,False,False,False,False,False,queued,,,0.0,489.63,1421.49,-931.83,-65.55
g5,Amazon Brand - Solimo Modular Plastic Container And Dispenser - Blue,amazon brand solimo modular plastic container dispenser,2,651.0,1,True,False,False,False,False,False,False,queued,,,0.0,1033.15,1321.74,-288.59,-21.83
g6,Amazon Brand - Solimo Copper Leak-Proof Mat Finish Designer Bottles 950 Ml Pure Copper Elegant Matte Design Daily Wellness Bottle,amazon brand solimo copper leak proof mat finish designer bottles 950 pure,2,576.0,1,True,False,False,False,False,False,False,queued,,,0.0,815.54,1195.58,-380.04,-31.79
g7,Amazon Brand - Solimo Copper Leak-Proof Powder Coating Bottles 950 Ml Pure Copper Coca Cola Color Daily Wellness Bottle,amazon brand solimo copper leak proof powder coating bottles 950 pure coca cola,2,572.0,1,True,False,False,False,False,False,False,queued,,,0.0,815.54,1191.2,-375.66,-31.54
g8,Amazon Brand - Solimo Copper Leak-Proof Powder Coating Sipper Bottles 950 Ml Pure Copper Coca Cola Color Daily Wellness Sipper Bottle,amazon brand solimo copper leak proof powder coating sipper bottles 950 pure,2,566.0,1,True,False,False,False,False,False,False,queued,,,0.0,815.54,1184.64,-369.1,-31.16
g9,Amazon Brand - Solimo Stainless Steel Water Bottles 1L Each Rust-Resistant Shatter-Proof Spill-Proof Food Grade Steel For Office Home Travel Everyday Essential,amazon brand solimo stainless steel water bottles 1l each rust resistant,1,539.0,1,False,False,False,False,False,False,False,queued,,,0.0,543.78,900.03,-356.25,-39.58
g10,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle Leak Proof Stainless Steel Jacketed Cap Toxin-Free Thermal Shock Resistant Odour Neutral Foam Cover,amazon brand solimo borosilicate glass fridge water bottle leak proof stainless,4,534.0,1,True,False,False,False,False,False,False,queued,,,0.0,787.8,1543.9899999999998,-756.22,-48.98
g11,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent,amazon brand solimo slim high microwave safe office two compartment lunch,2,458.0,1,True,False,False,False,False,False,False,queued,,,0.0,815.54,1066.44,-250.9,-23.53
g12,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle Superior Durability 100 Food-Safe Leak Proof Bpa-Free Cap,amazon brand solimo stainless steel insulated cola dual colour bottle superior,2,354.0,1,True,False,False,False,False,False,False,queued,,,0.0,761.12,941.6,-180.48,-19.17
g13,Amazon Brand - Solimo Stainless Steel Bottles 970Ml Each 100 Food-Grade Bpa-Free Cap Leak & Spill Proof Ergonomic Grip For Home & Office Use,solimo amazon 970ML,1,332.0,1,False,False,False,False,False,False,False,queued,,,0.0,516.58,667.98,-151.41,-22.67
g14,Solimo Microwave Safe Two Compartment Lunch Box Set For Office Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,solimo microwave safe two compartment lunch office borosilicate glass safety,2,296.0,1,True,False,False,False,False,False,False,queued,,,0.0,489.1,823.02,-333.92,-40.57
g15,Amazon Brand - Solimo Borosilicate Glass Bottle With Black Sipper Cap Anti-Slip Silicon Sleeve 1000 Ml,amazon brand solimo borosilicate glass bottle sipper cap anti slip silicon,1,268.0,1,False,False,False,False,False,False,False,queued,,,0.0,652.59,625.5,27.09,4.33
